parameter_no,clinic_1,clinic_2,clinic_3,clinic_4,clinic_5
000,dio_001/dio_002/dio_003/dio_004/dio_006/dio_008/dio_009/dio_010/dio_011/dio_012/dio_013/dio_014/dio_015/dio_016/dio_017/dio_018/dio_019/dio_020/dio_021/dio_022,urara_001/urara_002,dsc_001,lieto_001/lieto_002/lieto_003,eminal_001/eminal_002/eminal_003/eminal_004/eminal_005/eminal_006/eminal_007/eminal_008/eminal_009/eminal_010/eminal_011/eminal_012/eminal_013/eminal_014/eminal_015/eminal_016/eminal_017/eminal_018/eminal_019/eminal_020/eminal_021/eminal_022/eminal_023/eminal_024/eminal_025/eminal_026/eminal_027/eminal_028/eminal_029/eminal_030/eminal_031/eminal_032/eminal_033/eminal_034/eminal_035/eminal_036/eminal_037/eminal_038/eminal_039/eminal_040/eminal_041/eminal_042/eminal_043/eminal_044/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050/eminal_051/eminal_052/eminal_053/eminal_054/eminal_055/eminal_056/eminal_057/eminal_058/eminal_059/eminal_060/eminal_061/eminal_062/eminal_063
001,dio_022,-,-,-,eminal_062/eminal_063
002,-,-,-,-,eminal_061
003,-,-,-,-,eminal_060
004,dio_021,-,-,-,eminal_059
005,-,-,-,-,eminal_058
006,-,-,-,-,-
007,-,-,-,-,eminal_057
008,-,-,-,-,eminal_056
009,-,-,-,-,eminal_055
010,-,-,-,-,eminal_054
011,dio_014,-,-,-,eminal_053
012,dio_011,-,-,-,eminal_051/eminal_052
013,dio_015/dio_016/dio_017/dio_018/dio_019/dio_020,urara_001/urara_002,dsc_001,lieto_003,eminal_041/eminal_042/eminal_043/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050
014,dio_012/dio_013,-,-,lieto_002,eminal_039/eminal_040
015,-,-,-,-,eminal_038
016,-,-,-,-,eminal_037
017,-,-,-,-,eminal_036
018,-,-,-,-,eminal_035
019,-,-,-,-,-
020,-,-,-,-,eminal_034
021,-,-,-,-,eminal_033
022,-,-,-,-,eminal_031/eminal_032
023,dio_009/dio_010,-,-,lieto_001,eminal_029/eminal_030
024,-,-,-,-,eminal_028
025,-,-,-,-,eminal_027
026,dio_008,-,-,-,eminal_026
027,dio_003/dio_004,-,-,-,eminal_023/eminal_024/eminal_025
028,dio_006,-,-,-,eminal_021/eminal_022
029,-,-,-,-,eminal_020
030,-,-,-,-,eminal_019
031,-,-,-,-,-
032,-,-,-,-,-
033,-,-,-,-,eminal_018
034,dio_002,-,-,-,eminal_017
035,-,-,-,-,eminal_016
036,-,-,-,-,eminal_015
037,-,-,-,-,eminal_014
038,-,-,-,-,eminal_013
039,-,-,-,-,eminal_012
040,dio_001,-,-,-,eminal_008/eminal_009/eminal_010/eminal_011
041,-,-,-,-,-
042,-,-,-,-,eminal_006/eminal_007
043,-,-,-,-,eminal_004
044,-,-,-,-,eminal_005
045,-,-,-,-,eminal_003
046,-,-,-,-,eminal_002
047,-,-,-,-,eminal_001
048,dio_017,-,-,lieto_003,eminal_044/eminal_045
049,dio_018,-,-,-,eminal_043
050,-,-,-,-,-
051,dio_015,-,-,-,eminal_047/eminal_048
052,-,-,-,-,-
053,dio_020,urara_001,-,-,eminal_046
054,-,-,-,-,-
055,-,-,-,-,-
056,dio_015,-,dsc_001,-,eminal_047/eminal_048
057,dio_016,urara_002,-,-,eminal_049/eminal_050
058,dio_019,-,-,-,eminal_042
059,-,-,-,-,-
060,-,-,-,-,eminal_041
061,-,-,-,lieto_003,eminal_044/eminal_045
062,dio_020,urara_001,-,-,eminal_046
063,-,-,-,-,-
064,dio_018,-,-,-,eminal_043
065,-,-,dsc_001,-,eminal_047/eminal_048
066,-,-,-,-,-
067,dio_020,urara_001,-,-,eminal_046
068,-,-,-,-,-
069,dio_018,-,-,-,eminal_043
070,-,-,-,-,-
071,-,-,-,-,-
072,-,-,-,-,-
073,-,-,-,-,-
074,-,-,-,-,-
075,dio_003,-,-,-,eminal_024
076,-,-,-,-,-
077,dio_003,-,-,-,eminal_023/eminal_024
078,dio_003,-,-,-,eminal_024
079,dio_004,-,-,-,eminal_025
080,-,-,-,-,-
081,dio_009/dio_010,-,-,lieto_001,eminal_030
082,-,-,-,-,-
083,-,-,-,-,eminal_029
084,dio_009/dio_010,-,-,lieto_001,eminal_030
085,-,-,-,-,eminal_008
086,dio_001,-,-,-,eminal_010/eminal_011
087,dio_001,-,-,-,eminal_010/eminal_011
088,-,-,-,-,eminal_009
089,-,-,-,-,eminal_062
090,dio_022,-,-,-,eminal_063
091,-,-,-,-,-
092,dio_006,-,-,-,eminal_022
093,dio_006,-,-,-,eminal_022
094,-,-,-,-,-
095,-,-,-,-,eminal_021
096,-,-,-,-,-
097,dio_012,-,-,-,eminal_039
098,-,-,-,-,-
099,dio_015,-,-,-,eminal_048
100,-,-,-,-,-
101,dio_013,-,-,lieto_002,eminal_040
102,-,-,-,-,-
103,-,-,-,-,-
104,-,-,-,-,eminal_051
105,-,-,-,-,-
106,dio_014,-,-,-,eminal_053
107,dio_014,-,-,-,eminal_053
108,-,-,-,-,-
109,-,-,-,-,-
110,-,-,-,-,eminal_054
111,dio_008,-,-,-,eminal_026
112,-,-,-,-,eminal_013
113,-,-,-,-,-
114,-,-,-,-,eminal_036
115,-,-,-,-,-
116,-,-,-,-,eminal_056
117,-,-,-,-,eminal_060
118,-,-,-,-,-
119,-,-,-,-,-
120,-,-,-,-,eminal_014
121,-,-,-,-,-
122,-,-,-,-,-
123,-,-,-,-,eminal_031
124,-,-,-,-,-
125,-,-,-,-,-
126,-,-,-,-,eminal_055
